Sr No,Item No,Unit,Pack Size,Description,Brand,Unit Price Per Case,Unit Price Per Packsize Unit,Category,Max Quantity,Market Price,Market Price Unit
205,6947115,cs,6/480 CT,"TORTILLA CORN TRI CLEAR .25"" CUT",TAC MEX,25.37,,,,,
206,7108897,cs,6/5 LB,"POTATO FRY 3/8"" LONG PHANTOM",SYS IMP,37.09,,,,,
207,6986178,cs,1/100 CT,APPETIZER SPANAKOPITA,SYS IMP,51.53,,,,,
208,7726856,cs,6/12CT,"WRAP TORTILLA FLOUR WHITE 12""",TAC MEX,19.96,,,,,
209,2114203,cs,88/2 OZ,DANISH PASTRY ASSORTED MINI,BKRSIMP,40.32,,,,,
210,5407051,cs,6/5 LB,POTATO CHIP NATURAL FRY .125 INCH,LAMB,39.2,,,,,
211,3932811,cs,4/58CT,PETITE FOUR EMOTION (DROP SHIP),PATCHOX,136.43,,,,,
212,7931761,cs,1/192CT,TRUFFLE CHOCOLATE ASSORTED (DROP SHIP),LIFPROV,137.52,,,,,
213,6396634,cs,168/3.17OZ,DOUGH BISCUIT SOUTHERN EASY SPLIT,PILLSBY,46.97,,,,,
214,738007,cs,24/8IN,"PIZZA CHEESE SCRATCH READY 8""",VILAPRM,43.13,,,,,
215,6562207,cs,6/50 CT,"TORTILLA CORN WHITE 4.5""",MISSION,13.42,,,,,
216,8803262,cs,24/20CT,"TORTILLA FLOUR 4"" FRESH",TAC MEX,23.73,,,,,
217,2572436,cs,213/1.5 OZ,DOUGH COOKIE CHOCOLATE CHUNK,DAVIDS,49.24,,,,,
218,5051917,cs,2/6 LB,BROWNIE CHOCOLATE CHIP PRECUT,DAVIDS,35.21,,,,,
219,5960921,cs,48/4.4OZ,BREAD NAAN TANDOORI TEARDROP,STONEFI,33.84,,,,,
220,5221809,cs,48/3 OZ,CROISSANT BUTTER CURVED SLICED,BKRSIMP,48.32,,,,,
221,6946065,cs,2/47 OZ,PIE KEY LIME KILLER,MIKES,36.63,,,,,
222,3310109,cs,10/16 OZ,BREAD FOCACCIA QUARTER SHEET,LA BREA,34.39,,,,,
223,3591054,cs,96/1.5 OZ,ROLL DINNER ASSORTED PARBAKED,LA BREA,31.37,,,,,
224,8685364,cs,84/3.5OZ,DOUGH CROISSANT CHOCOLATE,BKRSIMP,73.53,,,,,
225,3540168,cs,213/1.5 OZ,DOUGH COOKIE SUGAR HOMESTYLE,HOPE'S,57.83,,,,,
226,7220676,cs,213/1.5 OZ,DOUGH COOKIE CHOCOLATE CHIP M&M,DAVIDS,47.99,,,,,
227,8017632,cs,72/2 OZ,DOUGH COOKIE RASPBERRY SHORTBREAD,JACQUEL,42.11,,,,,
228,1626605,cs,12/1 LB,GUACAMOLE SOUTHWESTERN HIGH PRESSURE PROCESSED FROZEN,CASAIMP,55.56,,,,,
229,1981513,cs,72/5 IN,"PIE SHELL RAW 5"" VEGETABLE",WICKS,43.72,,,,,
230,2476034,cs,213/1.5 OZ,DOUGH COOKIE OATMEAL RAISIN,DAVIDS,49.36,,,,,
231,6650543,cs,105/1.2 OZ,CHEESECAKE ASSORTED MINI ROYAL,SYS IMP,73.8,,,,,
232,142655,cs,6/33.8OZ,BEAN SPECIALITY HOT & SPICY,EXTRMBN,44.09,,,,,
233,6986475,cs,1/100 CT,APPETIZER VEGETABLE SPRINGROLL,SYS IMP,63.26,,,,,
234,7553571,cs,6/5 LB,"POTATO FRY 5/16"" LONG PHANTOM",SYS IMP,36.55,,,,,
235,6944334,cs,1/100CT,APPETIZER FRANKFURTER PUFF PASTRY,SYS IMP,35.22,,,,,
236,9263195,cs,6/2.5 LB,"ONION RING BEER BATTER 5/8""",SYS IMP,42.09,,,,,
237,2271658,cs,6/38 OZ,BREAD LOAF 9-GRAIN OPEN TOP,ROTELLA,30.01,,,,,
238,4780716,cs,6/28OZ,"BREAD TEXAS TOAST OPEN TOP .75"" SLICED",ROTELLA,26.71,,,,,
